system_condition,base_candidate_id,job_id,job_title,run_id,metric,variant_count,counterfactual_range,counterfactual_std,min_value,max_value,mean_value
baseline_llm,base_0003,hr_coordinator,HR Coordinator,3,role_alignment_index,8,5.5,1.6308274630645985,9.5,15.0,12.90625
baseline_llm,base_0003,hr_coordinator,HR Coordinator,3,supportiveness_index,8,11.11,5.437341623309265,88.89,100.0,96.08624999999999
baseline_llm,base_0003,marketing_specialist,Marketing Specialist,1,role_alignment_index,8,2.0,0.7669221882675862,4.25,6.25,5.34375
baseline_llm,base_0003,marketing_specialist,Marketing Specialist,1,supportiveness_index,8,10.0,4.425164847615446,90.0,100.0,97.61375
baseline_llm,base_0003,marketing_specialist,Marketing Specialist,2,role_alignment_index,8,4.25,1.3562026818605375,4.5,8.75,5.875
baseline_llm,base_0003,marketing_specialist,Marketing Specialist,2,supportiveness_index,8,14.290000000000006,5.052277951577884,85.71,100.0,98.21375
baseline_llm,base_0003,marketing_specialist,Marketing Specialist,3,role_alignment_index,8,1.75,0.7188470431382266,4.5,6.25,5.40625
baseline_llm,base_0003,marketing_specialist,Marketing Specialist,3,supportiveness_index,8,10.0,4.6291004988627575,90.0,100.0,97.5
baseline_llm,base_0003,project_manager,Project Manager,1,role_alignment_index,8,2.5,0.6681531047810609,16.25,18.75,17.5
baseline_llm,base_0003,project_manager,Project Manager,1,supportiveness_index,8,22.22,8.999776088484486,77.78,100.0,87.34625
baseline_llm,base_0003,project_manager,Project Manager,2,role_alignment_index,8,2.5,0.8010874305770697,16.25,18.75,17.34375
baseline_llm,base_0003,project_manager,Project Manager,2,supportiveness_index,8,18.180000000000007,7.738167811014995,81.82,100.0,91.21875
baseline_llm,base_0003,project_manager,Project Manager,3,role_alignment_index,8,3.75,1.0431537004953502,16.25,20.0,17.65625
baseline_llm,base_0003,project_manager,Project Manager,3,supportiveness_index,8,22.22,8.636323622600402,77.78,100.0,87.33
baseline_llm,base_0003,software_developer,Software Developer,1,role_alignment_index,8,1.75,0.6546536707079771,3.75,5.5,4.375
baseline_llm,base_0003,software_developer,Software Developer,1,supportiveness_index,8,16.67,5.893735021189874,83.33,100.0,97.91624999999999
baseline_llm,base_0003,software_developer,Software Developer,2,role_alignment_index,8,1.75,0.5824823725107175,3.75,5.5,4.625
baseline_llm,base_0003,software_developer,Software Developer,2,supportiveness_index,8,12.5,5.786375623578446,87.5,100.0,96.875
baseline_llm,base_0003,software_developer,Software Developer,3,role_alignment_index,8,2.5,0.8338540040078959,3.75,6.25,4.65625
baseline_llm,base_0003,software_developer,Software Developer,3,supportiveness_index,8,14.290000000000006,6.049078885015707,85.71,100.0,93.17875
baseline_llm,base_0004,data_analyst,Data Analyst,1,role_alignment_index,8,1.25,0.6469364618834571,6.25,7.5,6.71875
baseline_llm,base_0004,data_analyst,Data Analyst,1,supportiveness_index,8,0.0,0.0,100.0,100.0,100.0
baseline_llm,base_0004,data_analyst,Data Analyst,2,role_alignment_index,8,1.25,0.6681531047810609,6.25,7.5,6.875
baseline_llm,base_0004,data_analyst,Data Analyst,2,supportiveness_index,8,16.67,5.893735021189874,83.33,100.0,97.91624999999999
baseline_llm,base_0004,data_analyst,Data Analyst,3,role_alignment_index,8,1.25,0.5786375623578447,6.25,7.5,7.1875
baseline_llm,base_0004,data_analyst,Data Analyst,3,supportiveness_index,8,0.0,0.0,100.0,100.0,100.0
baseline_llm,base_0004,hr_coordinator,HR Coordinator,1,role_alignment_index,8,2.5,0.944911182523068,7.5,10.0,8.75
baseline_llm,base_0004,hr_coordinator,HR Coordinator,1,supportiveness_index,8,16.67,7.459792102618258,83.33,100.0,93.17875
baseline_llm,base_0004,hr_coordinator,HR Coordinator,2,role_alignment_index,8,5.0,1.6952533523256719,7.5,12.5,8.90625
baseline_llm,base_0004,hr_coordinator,HR Coordinator,2,supportiveness_index,8,25.0,9.59045209719393,75.0,100.0,91.74
baseline_llm,base_0004,hr_coordinator,HR Coordinator,3,role_alignment_index,8,2.5,1.1080065755348978,7.5,10.0,9.0625
baseline_llm,base_0004,hr_coordinator,HR Coordinator,3,supportiveness_index,8,14.290000000000006,6.593665249963137,85.71,100.0,95.26249999999999
baseline_llm,base_0004,marketing_specialist,Marketing Specialist,1,role_alignment_index,8,6.25,2.5,20.0,26.25,22.5
baseline_llm,base_0004,marketing_specialist,Marketing Specialist,1,supportiveness_index,8,12.5,5.25042515285327,87.5,100.0,97.1875
baseline_llm,base_0004,marketing_specialist,Marketing Specialist,2,role_alignment_index,8,5.0,1.8221724671391564,20.0,25.0,21.09375
baseline_llm,base_0004,marketing_specialist,Marketing Specialist,2,supportiveness_index,8,30.0,9.898303967274972,70.0,100.0,87.76249999999999
baseline_llm,base_0004,marketing_specialist,Marketing Specialist,3,role_alignment_index,8,5.0,2.290313453282261,20.0,25.0,23.4375
baseline_llm,base_0004,marketing_specialist,Marketing Specialist,3,supportiveness_index,8,18.180000000000007,8.39999319727616,81.82,100.0,92.29499999999999
baseline_llm,base_0004,project_manager,Project Manager,1,role_alignment_index,8,3.75,1.1080065755348978,10.0,13.75,12.1875
baseline_llm,base_0004,project_manager,Project Manager,1,supportiveness_index,8,22.22,9.701877487667751,77.78,100.0,91.37375
baseline_llm,base_0004,project_manager,Project Manager,2,role_alignment_index,8,7.5,2.921594476602509,10.0,17.5,13.375
baseline_llm,base_0004,project_manager,Project Manager,2,supportiveness_index,8,18.180000000000007,8.155702649942906,81.82,100.0,94.155
baseline_llm,base_0004,project_manager,Project Manager,3,role_alignment_index,8,5.0,1.8824257716346442,10.0,15.0,11.71875
baseline_llm,base_0004,project_manager,Project Manager,3,supportiveness_index,8,28.569999999999993,9.187676528916327,71.43,100.0,88.04499999999999
baseline_llm,base_0004,software_developer,Software Developer,1,role_alignment_index,8,2.5,0.7989949043284676,1.25,3.75,2.6875
baseline_llm,base_0004,software_developer,Software Developer,1,supportiveness_index,8,0.0,0.0,100.0,100.0,100.0
baseline_llm,base_0004,software_developer,Software Developer,2,role_alignment_index,8,4.25,1.575127545855981,2.0,6.25,4.15625
baseline_llm,base_0004,software_developer,Software Developer,2,supportiveness_index,8,9.090000000000003,3.2138003204928594,90.91,100.0,98.86375
baseline_llm,base_0004,software_developer,Software Developer,3,role_alignment_index,8,5.0,1.4562059312767939,1.25,6.25,3.4375
baseline_llm,base_0004,software_developer,Software Developer,3,supportiveness_index,8,0.0,0.0,100.0,100.0,100.0
baseline_llm,base_0005,data_analyst,Data Analyst,1,role_alignment_index,8,7.5,2.6726124191242437,15.0,22.5,20.0
baseline_llm,base_0005,data_analyst,Data Analyst,1,supportiveness_index,8,9.090000000000003,3.2138003204928594,90.91,100.0,98.86375
baseline_llm,base_0005,data_analyst,Data Analyst,2,role_alignment_index,8,8.75,2.494413400839106,17.5,26.25,22.03125
baseline_llm,base_0005,data_analyst,Data Analyst,2,supportiveness_index,8,9.090000000000003,3.2138003204928594,90.91,100.0,98.86375
baseline_llm,base_0005,data_analyst,Data Analyst,3,role_alignment_index,8,11.25,4.159219535304327,15.0,26.25,19.6875
baseline_llm,base_0005,data_analyst,Data Analyst,3,supportiveness_index,8,0.0,0.0,100.0,100.0,100.0
baseline_llm,base_0005,hr_coordinator,HR Coordinator,1,role_alignment_index,8,10.0,2.796681707207413,12.5,22.5,16.75
baseline_llm,base_0005,hr_coordinator,HR Coordinator,1,supportiveness_index,8,16.67,6.9756155642351745,83.33,100.0,91.92875
baseline_llm,base_0005,hr_coordinator,HR Coordinator,2,role_alignment_index,8,8.75,3.775951866748304,12.5,21.25,16.53125
baseline_llm,base_0005,hr_coordinator,HR Coordinator,2,supportiveness_index,8,14.290000000000006,6.788816433770218,85.71,100.0,93.69999999999999
baseline_llm,base_0005,hr_coordinator,HR Coordinator,3,role_alignment_index,8,5.0,1.636293175791813,12.5,17.5,15.15625
baseline_llm,base_0005,hr_coordinator,HR Coordinator,3,supportiveness_index,8,12.5,5.8177399576025834,87.5,100.0,93.02125
baseline_llm,base_0005,marketing_specialist,Marketing Specialist,1,role_alignment_index,8,12.5,3.9370039370059056,12.5,25.0,18.5
baseline_llm,base_0005,marketing_specialist,Marketing Specialist,1,supportiveness_index,8,18.75,7.784704783832756,81.25,100.0,94.62
baseline_llm,base_0005,marketing_specialist,Marketing Specialist,2,role_alignment_index,8,5.5,1.9445436482630056,17.0,22.5,18.6875
baseline_llm,base_0005,marketing_specialist,Marketing Specialist,2,supportiveness_index,8,10.0,4.425164847615447,90.0,100.0,97.61375
baseline_llm,base_0005,marketing_specialist,Marketing Specialist,3,role_alignment_index,8,7.5,2.601296036868655,12.5,20.0,18.34375
baseline_llm,base_0005,marketing_specialist,Marketing Specialist,3,supportiveness_index,8,14.290000000000006,5.454519587330441,85.71,100.0,91.60125
baseline_llm,base_0005,project_manager,Project Manager,1,role_alignment_index,8,8.25,2.9366450123519234,53.0,61.25,57.15625
baseline_llm,base_0005,project_manager,Project Manager,1,supportiveness_index,8,33.33,10.670362743198028,66.67,100.0,79.80875
baseline_llm,base_0005,project_manager,Project Manager,2,role_alignment_index,8,8.75,2.7171331399105196,53.0,61.75,58.28125
baseline_llm,base_0005,project_manager,Project Manager,2,supportiveness_index,8,33.33,13.961509333060764,66.67,100.0,86.25999999999999
baseline_llm,base_0005,project_manager,Project Manager,3,role_alignment_index,8,7.25,2.223052920133546,53.0,60.25,56.8125
baseline_llm,base_0005,project_manager,Project Manager,3,supportiveness_index,8,14.290000000000006,6.028990527917116,85.71,100.0,90.69874999999999
baseline_llm,base_0005,software_developer,Software Developer,1,role_alignment_index,8,8.75,2.8753881725529062,10.0,18.75,14.625
baseline_llm,base_0005,software_developer,Software Developer,1,supportiveness_index,8,12.5,5.25042515285327,87.5,100.0,97.1875
baseline_llm,base_0005,software_developer,Software Developer,2,role_alignment_index,8,9.25,3.2771871104871106,9.5,18.75,13.78125
baseline_llm,base_0005,software_developer,Software Developer,2,supportiveness_index,8,0.0,0.0,100.0,100.0,100.0
baseline_llm,base_0005,software_developer,Software Developer,3,role_alignment_index,8,7.5,2.667387365408867,10.0,17.5,14.53125
baseline_llm,base_0005,software_developer,Software Developer,3,supportiveness_index,8,0.0,0.0,100.0,100.0,100.0
baseline_llm,base_0006,data_analyst,Data Analyst,1,role_alignment_index,8,0.0,0.0,11.25,11.25,11.25
baseline_llm,base_0006,data_analyst,Data Analyst,1,supportiveness_index,8,0.0,0.0,100.0,100.0,100.0
baseline_llm,base_0006,data_analyst,Data Analyst,2,role_alignment_index,8,1.25,0.5786375623578447,11.25,12.5,11.5625
baseline_llm,base_0006,data_analyst,Data Analyst,2,supportiveness_index,8,0.0,0.0,100.0,100.0,100.0
baseline_llm,base_0006,data_analyst,Data Analyst,3,role_alignment_index,8,5.0,1.3363062095621219,8.75,13.75,11.25
baseline_llm,base_0006,data_analyst,Data Analyst,3,supportiveness_index,8,0.0,0.0,100.0,100.0,100.0
baseline_llm,base_0006,hr_coordinator,HR Coordinator,1,role_alignment_index,8,3.75,1.435752042858177,13.75,17.5,15.96875
baseline_llm,base_0006,hr_coordinator,HR Coordinator,1,supportiveness_index,8,0.0,0.0,100.0,100.0,100.0
baseline_llm,base_0006,hr_coordinator,HR Coordinator,2,role_alignment_index,8,3.75,1.3363062095621219,13.75,17.5,15.625
baseline_llm,base_0006,hr_coordinator,HR Coordinator,2,supportiveness_index,8,0.0,0.0,100.0,100.0,100.0
baseline_llm,base_0006,hr_coordinator,HR Coordinator,3,role_alignment_index,8,6.25,2.158610250667247,13.75,20.0,16.40625
baseline_llm,base_0006,hr_coordinator,HR Coordinator,3,supportiveness_index,8,0.0,0.0,100.0,100.0,100.0
baseline_llm,base_0006,marketing_specialist,Marketing Specialist,1,role_alignment_index,8,1.25,0.6681531047810609,13.75,15.0,14.375
baseline_llm,base_0006,marketing_specialist,Marketing Specialist,1,supportiveness_index,8,11.11,4.89501331531824,88.89,100.0,97.36125
baseline_llm,base_0006,marketing_specialist,Marketing Specialist,2,role_alignment_index,8,3.75,1.5580293184477811,13.75,17.5,15.15625
baseline_llm,base_0006,marketing_specialist,Marketing Specialist,2,supportiveness_index,8,0.0,0.0,100.0,100.0,100.0
baseline_llm,base_0006,marketing_specialist,Marketing Specialist,3,role_alignment_index,8,6.25,1.8600595228571124,11.25,17.5,14.6875
baseline_llm,base_0006,marketing_specialist,Marketing Specialist,3,supportiveness_index,8,10.0,4.1407226336198155,90.0,100.0,97.78875
baseline_llm,base_0006,project_manager,Project Manager,1,role_alignment_index,8,8.25,2.3145502494313788,16.75,25.0,20.5
baseline_llm,base_0006,project_manager,Project Manager,1,supportiveness_index,8,16.67,6.842908607769486,83.33,100.0,96.35374999999999
baseline_llm,base_0006,project_manager,Project Manager,2,role_alignment_index,8,9.25,2.951240659209518,14.5,23.75,19.6875
baseline_llm,base_0006,project_manager,Project Manager,2,supportiveness_index,8,10.0,3.5355339059327378,90.0,100.0,98.75
baseline_llm,base_0006,project_manager,Project Manager,3,role_alignment_index,8,3.75,1.1572751247156894,17.5,21.25,20.0
baseline_llm,base_0006,project_manager,Project Manager,3,supportiveness_index,8,28.569999999999993,10.488270914965643,71.43,100.0,93.30375000000001
baseline_llm,base_0006,software_developer,Software Developer,1,role_alignment_index,8,3.25,1.0474245625751357,3.75,7.0,5.03125
baseline_llm,base_0006,software_developer,Software Developer,1,supportiveness_index,8,0.0,0.0,100.0,100.0,100.0
baseline_llm,base_0006,software_developer,Software Developer,2,role_alignment_index,8,6.25,1.9997209626774002,2.5,8.75,5.40625
baseline_llm,base_0006,software_developer,Software Developer,2,supportiveness_index,8,0.0,0.0,100.0,100.0,100.0
baseline_llm,base_0006,software_developer,Software Developer,3,role_alignment_index,8,4.5,1.410657774636661,3.75,8.25,5.03125
baseline_llm,base_0006,software_developer,Software Developer,3,supportiveness_index,8,0.0,0.0,100.0,100.0,100.0
baseline_llm,base_0007,data_analyst,Data Analyst,1,role_alignment_index,8,2.5,1.0431537004953502,6.25,8.75,7.34375
baseline_llm,base_0007,data_analyst,Data Analyst,1,supportiveness_index,8,10.0,4.26598318093262,90.0,100.0,97.70875000000001
baseline_llm,base_0007,data_analyst,Data Analyst,2,role_alignment_index,8,3.75,1.1080065755348978,6.25,10.0,7.8125
baseline_llm,base_0007,data_analyst,Data Analyst,2,supportiveness_index,8,10.0,4.869616441334399,90.0,100.0,96.47749999999999
baseline_llm,base_0007,data_analyst,Data Analyst,3,role_alignment_index,8,2.5,0.8010874305770697,6.25,8.75,7.65625
baseline_llm,base_0007,data_analyst,Data Analyst,3,supportiveness_index,8,12.5,4.419417382415922,87.5,100.0,98.4375
baseline_llm,base_0007,hr_coordinator,HR Coordinator,1,role_alignment_index,8,2.5,0.944911182523068,6.25,8.75,7.5
baseline_llm,base_0007,hr_coordinator,HR Coordinator,1,supportiveness_index,8,14.290000000000006,6.0708435222321935,85.71,100.0,94.53375
baseline_llm,base_0007,hr_coordinator,HR Coordinator,2,role_alignment_index,8,2.5,0.944911182523068,6.25,8.75,7.5
baseline_llm,base_0007,hr_coordinator,HR Coordinator,2,supportiveness_index,8,16.67,6.925100179780795,83.33,100.0,95.13874999999999
baseline_llm,base_0007,hr_coordinator,HR Coordinator,3,role_alignment_index,8,2.5,0.9300297614285562,6.25,8.75,7.96875
baseline_llm,base_0007,hr_coordinator,HR Coordinator,3,supportiveness_index,8,12.5,5.737953218949867,87.5,100.0,94.6875
baseline_llm,base_0007,marketing_specialist,Marketing Specialist,1,role_alignment_index,8,2.5,0.9537285852304702,3.75,6.25,4.40625
baseline_llm,base_0007,marketing_specialist,Marketing Specialist,1,supportiveness_index,8,18.180000000000007,6.576235218029931,81.82,100.0,92.99125000000001
baseline_llm,base_0007,marketing_specialist,Marketing Specialist,2,role_alignment_index,8,0.5,0.25877458475338283,3.75,4.25,4.0625
baseline_llm,base_0007,marketing_specialist,Marketing Specialist,2,supportiveness_index,8,15.379999999999995,6.195489142455638,84.62,100.0,92.8
baseline_llm,base_0007,marketing_specialist,Marketing Specialist,3,role_alignment_index,8,0.5,0.23145502494313785,3.75,4.25,4.125
baseline_llm,base_0007,marketing_specialist,Marketing Specialist,3,supportiveness_index,8,16.67,4.593053567228296,83.33,100.0,90.79374999999999
baseline_llm,base_0007,project_manager,Project Manager,1,role_alignment_index,8,5.0,1.5608920297610045,8.75,13.75,12.28125
baseline_llm,base_0007,project_manager,Project Manager,1,supportiveness_index,8,23.08,8.44689968483788,76.92,100.0,89.64500000000001
baseline_llm,base_0007,project_manager,Project Manager,2,role_alignment_index,8,3.75,1.484668673956776,12.5,16.25,13.28125
baseline_llm,base_0007,project_manager,Project Manager,2,supportiveness_index,8,6.6000000000000085,2.240674324521848,85.71,92.31,90.5475
baseline_llm,base_0007,project_manager,Project Manager,3,role_alignment_index,8,5.0,1.7598574414666985,12.5,17.5,13.28125
baseline_llm,base_0007,project_manager,Project Manager,3,supportiveness_index,8,11.11,5.079279335833832,88.89,100.0,94.0575
baseline_llm,base_0007,software_developer,Software Developer,1,role_alignment_index,8,2.5,0.9136856289618595,3.75,6.25,4.4375
baseline_llm,base_0007,software_developer,Software Developer,1,supportiveness_index,8,10.0,4.436120409289437,90.0,100.0,96.8275
baseline_llm,base_0007,software_developer,Software Developer,2,role_alignment_index,8,3.0,1.1294554629807865,3.75,6.75,5.21875
baseline_llm,base_0007,software_developer,Software Developer,2,supportiveness_index,8,10.0,3.5355339059327378,90.0,100.0,98.75
baseline_llm,base_0007,software_developer,Software Developer,3,role_alignment_index,8,1.75,0.7126096406869612,3.75,5.5,4.71875
baseline_llm,base_0007,software_developer,Software Developer,3,supportiveness_index,8,20.0,7.843597480019703,80.0,100.0,93.32749999999999
baseline_llm,base_0008,data_analyst,Data Analyst,1,role_alignment_index,8,3.75,1.1572751247156894,25.0,28.75,26.25
baseline_llm,base_0008,data_analyst,Data Analyst,1,supportiveness_index,8,9.090000000000003,3.2138003204928594,90.91,100.0,98.86375
baseline_llm,base_0008,data_analyst,Data Analyst,2,role_alignment_index,8,7.5,2.158610250667247,22.5,30.0,26.09375
baseline_llm,base_0008,data_analyst,Data Analyst,2,supportiveness_index,8,0.0,0.0,100.0,100.0,100.0
baseline_llm,base_0008,data_analyst,Data Analyst,3,role_alignment_index,8,4.25,1.4500615750472707,22.0,26.25,25.3125
baseline_llm,base_0008,data_analyst,Data Analyst,3,supportiveness_index,8,0.0,0.0,100.0,100.0,100.0
baseline_llm,base_0008,hr_coordinator,HR Coordinator,1,role_alignment_index,8,6.25,1.7999875991636323,26.25,32.5,30.03125
baseline_llm,base_0008,hr_coordinator,HR Coordinator,1,supportiveness_index,8,0.0,0.0,100.0,100.0,100.0
baseline_llm,base_0008,hr_coordinator,HR Coordinator,2,role_alignment_index,8,6.25,1.8310321055155128,27.5,33.75,30.6875
baseline_llm,base_0008,hr_coordinator,HR Coordinator,2,supportiveness_index,8,0.0,0.0,100.0,100.0,100.0
baseline_llm,base_0008,hr_coordinator,HR Coordinator,3,role_alignment_index,8,3.25,1.14953406710222,27.5,30.75,29.75
